id,section,domain,skill,atomic_topic_zh,atomic_topic_en,title,strategy_name,video_url,cover_url
sat-math-034,Math,Problem-Solving and Data Analysis,One-Variable Data,均值、中位数、众数、极差和四分位距,"Interquartile range (IQR): calculate Q1, Q3, and IQR for a one-variable data set",Compute IQR By Splitting Medians,Half-Median IQR,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-034/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-034/cover.png
sat-math-035,Math,Problem-Solving and Data Analysis,One-Variable Data,数据分布、离群值及中心与离散程度,Identifying outliers from a distribution using gaps,Compare Outliers Using Gap Rule,Gap-Based Outlier Rule,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-035/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-035/cover.png
sat-math-036,Math,Problem-Solving and Data Analysis,One-Variable Data,比较不同数据集和图形表示,Compare values across different datasets and graphical displays,Compare Values Across Data Displays,Match-and-Compare Bars,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-036/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-036/cover.png
sat-math-037,Math,Problem-Solving and Data Analysis,Two-Variable Data,散点图、相关方向和相关强度,Scatter plots: direction and strength of correlation,Interpret Scatter-Plot Correlation Direction and Strength,Direction-and-Spread Check,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-037/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-037/cover.png
sat-math-038,Math,Problem-Solving and Data Analysis,Two-Variable Data,最佳拟合线、斜率与截距的情境含义,Contextual meaning of slope and intercept of a best-fit line,Interpret Slope And Intercept Contextually,Slope–Intercept Context Mapping,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-038/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-038/cover.png
sat-math-039,Math,Problem-Solving and Data Analysis,Two-Variable Data,线性或指数模型的预测与比较,Predicting and comparing values from linear vs. exponential models,Compare Linear And Exponential Predictions,"Model-Form, Evaluate, Compare",https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-039/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-039/cover.png
sat-math-040,Math,Problem-Solving and Data Analysis,Probability and Conditional Probability,简单概率、复合概率和条件概率,"Simple, compound, and conditional probability",Compute Conditional And Compound Probabilities,Condition-Reduce-Compute,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-040/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-040/cover.png
sat-math-041,Math,Problem-Solving and Data Analysis,Probability and Conditional Probability,频数表、双向表和集合关系,"Interpreting frequency tables, two-way tables, and set relationships",Interpret Two-Way Tables for Unions,Table-to-Union Count,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-041/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-041/cover.png
sat-math-042,Math,Problem-Solving and Data Analysis,Inference from Sample Statistics and Margin of Error,由样本统计量估计总体,Estimate a population parameter using a sample statistic (point estimate),Estimate Population Parameters With Point Estimates,Sample-as-Point-Estimate,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-042/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-042/cover.png
sat-math-043,Math,Problem-Solving and Data Analysis,Inference from Sample Statistics and Margin of Error,样本量与误差范围的关系,How margin of error changes with sample size,Scale Margin of Error With Sample Size,√n Scaling,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-043/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-043/cover.png
sat-math-044,Math,Problem-Solving and Data Analysis,Inference from Sample Statistics and Margin of Error,判断抽样结论的合理性,Assess whether a conclusion drawn from a sample is reasonable,Assess Sample-Based Conclusions Using MOE,Margin Plausibility Check,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-044/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-044/cover.png
sat-math-045,Math,Problem-Solving and Data Analysis,Evaluating Statistical Claims,观察性研究与实验的区别,Distinguish an observational study from an experiment,Compare Experiments And Observational Studies,Intervention-Check,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-045/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-045/cover.png
sat-math-046,Math,Problem-Solving and Data Analysis,Evaluating Statistical Claims,随机抽样、随机分组与代表性,"Random sampling, random assignment, and representativeness",Evaluate Sampling and Representativeness Signals,Signal-to-Representativeness Test,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-046/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-046/cover.png
sat-math-047,Math,Problem-Solving and Data Analysis,Evaluating Statistical Claims,相关关系与因果关系,Distinguish correlation from causation,Distinguish Correlation From Causation Signals,Causation Check,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-047/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-047/cover.png
sat-math-048,Math,Problem-Solving and Data Analysis,Evaluating Statistical Claims,识别偏差、混杂变量和过度推断,"Identify bias, confounding variables, and over‑inference in statistical claims",Evaluate Statistical Claims For Bias,Claim-Source-Confound Check,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-048/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-048/cover.png
sat-math-049,Math,Geometry and Trigonometry,Area and Volume,三角形、四边形和圆的面积,"Find areas of triangles, quadrilaterals, and circles",Solve Composite Shape Area Problems,Shape-by-shape area sum,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-049/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-049/cover.png
sat-math-050,Math,Geometry and Trigonometry,Area and Volume,棱柱、圆柱、棱锥、圆锥和球的体积,"Volumes of prisms, cylinders, pyramids, cones, and spheres",Compute Volumes Using Base Areas,Base-Area then Scale,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-050/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-050/cover.png
sat-math-051,Math,Geometry and Trigonometry,Area and Volume,相似图形的长度、面积和体积缩放,"Scaling of lengths, areas, and volumes in similar figures",Model Scaling in Similar Figures,Scale-Power Method,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-051/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-051/cover.png
sat-math-052,Math,Geometry and Trigonometry,"Lines, Angles, and Triangles",平行线、截线及角度关系,"Parallel lines, a transversal, and angle relationships",Connect Parallel Line Transversal Angles,Angle-Pair Match,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-052/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-052/cover.png
sat-math-053,Math,Geometry and Trigonometry,"Lines, Angles, and Triangles",三角形内外角、全等与相似,Triangle interior and exterior angles; congruence and similarity,Solve Triangle Exterior Angles With Remotes,Remote-Interior Sum,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-053/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-053/cover.png
sat-math-054,Math,Geometry and Trigonometry,"Lines, Angles, and Triangles",坐标几何中的距离、中点和斜率,Slope between two points in coordinate geometry,Compute Slope Between Two Points,Two-Point Slope Check,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-054/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-054/cover.png
sat-math-055,Math,Geometry and Trigonometry,Right Triangles and Trigonometry,勾股定理与直角三角形边长,Pythagorean theorem for right-triangle side lengths,Solve Right-Triangle Sides With Pythagoras,Pythagorean solve,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-055/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-055/cover.png
sat-math-056,Math,Geometry and Trigonometry,Right Triangles and Trigonometry,30-60-90 与 45-45-90 特殊三角形,30-60-90 and 45-45-90 special right triangles,Model 30-60-90 And 45-45-90 Ratios,Special-Triangle Ratio Replace,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-056/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-056/cover.png
sat-math-057,Math,Geometry and Trigonometry,Right Triangles and Trigonometry,正弦、余弦和正切,"Sine, cosine, and tangent (define and compute trig ratios in right triangles)",Solve Trig Ratios in Right Triangles,Three-step Ratio Pick,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-057/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-057/cover.png
sat-math-058,Math,Geometry and Trigonometry,Right Triangles and Trigonometry,仰角、俯角及实际测量问题,Angles of elevation and depression for real-world measurements,Model Heights With Elevation Angles,Opposite/Adjacent Ratio Method,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-058/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-058/cover.png
sat-math-059,Math,Geometry and Trigonometry,Circles,半径、直径、周长和面积,"Radius, Diameter, Circumference, and Area",Compute Circle Area From Diameter,Diameter-to-Radius Conversion,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-059/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-059/cover.png
sat-math-060,Math,Geometry and Trigonometry,Circles,圆心角、圆周角、弧长和扇形面积,"Central angles, inscribed angles, arc length, and sector area",Transform Angles Into Sector Measures,Angle-to-Measure Conversion,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-060/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-060/cover.png
sat-math-061,Math,Geometry and Trigonometry,Circles,切线、弦及相关角度关系,Angle relationships involving a tangent and a chord,Match Tangent–Chord Angles to Arcs,Tangent–Chord Angle Match,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-061/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-061/cover.png
sat-math-062,Math,Geometry and Trigonometry,Circles,坐标平面中的圆方程,Equation of a circle in the coordinate plane (standard form),Form Circle Equations From Center and Point,Center-to-Equation Substitution,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-062/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-062/cover.png
